iter	Passed	Remaining
296	2251	5328
297	2257	5318
298	2264	5309
299	2271	5300
300	2278	5291
301	2285	5282
302	2292	5273
303	2299	5264
304	2306	5254
305	2313	5246
306	2319	5236
307	2327	5228
308	2334	5219
309	2342	5213
310	2349	5205
311	2356	5195
312	2362	5185
313	2369	5176
314	2376	5166
315	2382	5156
316	2389	5148
317	2396	5138
318	2402	5129
319	2409	5120
320	2416	5111
321	2423	5102
322	2430	5093
323	2436	5084
324	2443	5075
325	2450	5066
326	2457	5057
327	2464	5049
328	2471	5040
329	2477	5031
330	2484	5022
331	2491	5013
332	2498	5004
333	2505	4995
334	2512	4987
335	2519	4978
336	2526	4970
337	2533	4962
338	2540	4953
339	2547	4944
340	2553	4934
341	2560	4925
342	2566	4916
343	2573	4908
344	2580	4899
345	2587	4890
346	2594	4881
347	2600	4873
348	2607	4863
349	2613	4854
350	2620	4845
351	2628	4838
352	2635	4829
353	2641	4820
354	2648	4811
355	2655	4803
356	2662	4795
357	2669	4787
358	2676	4779
359	2683	4770
360	2690	4762
361	2697	4754
362	2704	4745
363	2710	4736
364	2717	4727
365	2724	4719
366	2731	4710
367	2737	4702
368	2744	4693
369	2751	4684
370	2757	4675
371	2764	4667
372	2771	4659
373	2778	4650
374	2785	4642
375	2792	4633
376	2798	4625
377	2805	4616
378	2812	4608
379	2819	4600
380	2825	4591
381	2832	4582
382	2839	4573
383	2845	4565
384	2852	4557
385	2859	4548
386	2866	4540
387	2873	4532
388	2879	4523
389	2886	4515
390	2894	4508
391	2902	4501
392	2910	4494
393	2917	4487
394	2925	4480
395	2932	4473
396	2941	4467
397	2949	4461
398	2955	4452
399	2962	4444
400	2969	4435
401	2975	4426
402	2982	4418
403	2989	4410
404	2996	4401
405	3002	4393
406	3009	4384
407	3016	4376
408	3023	4368
409	3030	4361
410	3037	4352
411	3044	4344
412	3051	4336
